,number,state,value,datetime_start,datetime_complete,params,params,params,params,user_attrs,system_attrs,system_attrs
,,,,,,LogisticRegression_C,LogisticRegression_penalty,LogisticRegression_solver,model,score,_number,fail_reason
0,0,TrialState.COMPLETE,0.856096382890829,2020-01-05 15:24:54.649603,2020-01-05 15:24:55.585442,0.4463579221587408,l1,liblinear,LogisticRegression,0.856096382890829,0,
1,1,TrialState.COMPLETE,0.8553227807060017,2020-01-05 15:24:54.651302,2020-01-05 15:24:58.507158,1.0522074208880687,none,lbfgs,LogisticRegression,0.8553227807060017,1,
2,2,TrialState.COMPLETE,0.8000370282282692,2020-01-05 15:24:54.653338,2020-01-05 15:24:57.908255,0.4704225171370175,none,sag,LogisticRegression,0.8000370282282692,2,
3,3,TrialState.COMPLETE,0.7843127780538912,2020-01-05 15:24:54.656041,2020-01-05 15:24:57.771081,1.7392099348243453,none,saga,LogisticRegression,0.7843127780538912,3,
4,4,TrialState.FAIL,,2020-01-05 15:24:55.650618,2020-01-05 15:24:55.946623,0.23865834730464464,elasticnet,lbfgs,LogisticRegression,,4,Setting status of trial#4 as TrialState.FAIL because the objective function returned nan.
5,5,TrialState.COMPLETE,0.8004916198992198,2020-01-05 15:24:55.946747,2020-01-05 15:24:58.038521,0.12355065022247969,l2,sag,LogisticRegression,0.8004916198992198,5,
6,6,TrialState.FAIL,,2020-01-05 15:24:58.035227,2020-01-05 15:24:58.375903,0.10171647165746538,l1,sag,LogisticRegression,,6,Setting status of trial#6 as TrialState.FAIL because the objective function returned nan.
7,7,TrialState.COMPLETE,0.8000370282282692,2020-01-05 15:24:58.036771,2020-01-05 15:24:58.958724,1.0616405037181287,none,sag,LogisticRegression,0.8000370282282692,7,
8,8,TrialState.FAIL,,2020-01-05 15:24:58.040067,2020-01-05 15:24:58.232745,0.11942632497879388,l1,newton-cg,LogisticRegression,,8,Setting status of trial#8 as TrialState.FAIL because the objective function returned nan.
9,9,TrialState.COMPLETE,0.8000636204367522,2020-01-05 15:24:58.234537,2020-01-05 15:24:59.791185,2.3053828345761915,l2,sag,LogisticRegression,0.8000636204367522,9,
10,10,TrialState.COMPLETE,0.8558298279967606,2020-01-05 15:24:58.959273,2020-01-05 15:25:00.098550,1.0490494993478143,l2,lbfgs,LogisticRegression,0.8558298279967606,10,
11,11,TrialState.FAIL,,2020-01-05 15:24:58.961201,2020-01-05 15:24:59.117478,4.136832923424028,none,liblinear,LogisticRegression,,11,Setting status of trial#11 as TrialState.FAIL because the objective function returned nan.
12,12,TrialState.FAIL,,2020-01-05 15:24:58.962803,2020-01-05 15:24:59.953934,0.15122800663619854,none,liblinear,LogisticRegression,,12,Setting status of trial#12 as TrialState.FAIL because the objective function returned nan.
