,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.8561531508567455,2020-01-05 15:13:12.257401,2020-01-05 15:13:24.581874,41,BalancedBaggingClassifier,0.8561531508567455,0
1,1,TrialState.COMPLETE,0.8562068685399243,2020-01-05 15:13:12.259256,2020-01-05 15:13:24.897579,50,BalancedBaggingClassifier,0.8562068685399243,1
2,2,TrialState.COMPLETE,0.8563689921339679,2020-01-05 15:13:12.260612,2020-01-05 15:13:25.638282,54,BalancedBaggingClassifier,0.8563689921339679,2
3,3,TrialState.COMPLETE,0.8558892125222283,2020-01-05 15:13:12.261589,2020-01-05 15:13:24.337379,58,BalancedBaggingClassifier,0.8558892125222283,3
4,4,TrialState.COMPLETE,0.8563411414172226,2020-01-05 15:13:24.377808,2020-01-05 15:13:31.970811,52,BalancedBaggingClassifier,0.8563411414172226,4
5,5,TrialState.COMPLETE,0.8563689921339679,2020-01-05 15:13:24.606841,2020-01-05 15:13:32.179879,54,BalancedBaggingClassifier,0.8563689921339679,5
6,6,TrialState.COMPLETE,0.8564212593330474,2020-01-05 15:13:24.924394,2020-01-05 15:13:32.332456,44,BalancedBaggingClassifier,0.8564212593330474,6
7,7,TrialState.COMPLETE,0.8562892155085191,2020-01-05 15:13:25.676896,2020-01-05 15:13:32.453644,53,BalancedBaggingClassifier,0.8562892155085191,7
8,8,TrialState.COMPLETE,0.856020769296949,2020-01-05 15:13:31.974521,2020-01-05 15:13:38.553695,51,BalancedBaggingClassifier,0.856020769296949,8
9,9,TrialState.COMPLETE,0.8563689921339679,2020-01-05 15:13:32.181125,2020-01-05 15:13:39.503211,54,BalancedBaggingClassifier,0.8563689921339679,9
10,10,TrialState.COMPLETE,0.8563944715936198,2020-01-05 15:13:32.333361,2020-01-05 15:13:38.946916,43,BalancedBaggingClassifier,0.8563944715936198,10
11,11,TrialState.COMPLETE,0.8562327355063577,2020-01-05 15:13:32.454186,2020-01-05 15:13:39.177822,40,BalancedBaggingClassifier,0.8562327355063577,11
12,12,TrialState.COMPLETE,0.8565274824075477,2020-01-05 15:13:38.573927,2020-01-05 15:13:48.294915,48,BalancedBaggingClassifier,0.8565274824075477,12
13,13,TrialState.COMPLETE,0.8562327355063577,2020-01-05 15:13:38.947707,2020-01-05 15:13:48.612625,40,BalancedBaggingClassifier,0.8562327355063577,13
14,14,TrialState.COMPLETE,0.8562343353049963,2020-01-05 15:13:39.178504,2020-01-05 15:13:48.904266,46,BalancedBaggingClassifier,0.8562343353049963,14
15,15,TrialState.COMPLETE,0.8566340467724238,2020-01-05 15:13:39.510910,2020-01-05 15:13:49.169908,49,BalancedBaggingClassifier,0.8566340467724238,15
16,16,TrialState.COMPLETE,0.8558892125222283,2020-01-05 15:13:48.295665,2020-01-05 15:13:57.967667,58,BalancedBaggingClassifier,0.8558892125222283,16
17,17,TrialState.COMPLETE,0.8561018079857682,2020-01-05 15:13:48.641073,2020-01-05 15:13:58.461088,60,BalancedBaggingClassifier,0.8561018079857682,17
18,18,TrialState.COMPLETE,0.8564740064717187,2020-01-05 15:13:48.905223,2020-01-05 15:13:58.607254,42,BalancedBaggingClassifier,0.8564740064717187,18
19,19,TrialState.COMPLETE,0.8565280156737606,2020-01-05 15:13:49.170407,2020-01-05 15:13:58.749159,47,BalancedBaggingClassifier,0.8565280156737606,19
