,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8332603647398692,2020-01-05 20:20:17.239034,2020-01-05 20:20:19.328832,2,0.8332603647398692,0
1,1,TrialState.COMPLETE,0.8564200310432039,2020-01-05 20:20:17.243044,2020-01-05 20:20:23.139853,11,0.8564200310432039,1
2,2,TrialState.COMPLETE,0.8482373791885394,2020-01-05 20:20:17.245251,2020-01-05 20:20:19.975843,3,0.8482373791885394,2
3,3,TrialState.COMPLETE,0.854983324765523,2020-01-05 20:20:17.251241,2020-01-05 20:20:19.370618,6,0.854983324765523,3
4,4,TrialState.COMPLETE,0.8546204246647712,2020-01-05 20:20:19.329355,2020-01-05 20:20:20.406310,7,0.8546204246647712,4
5,5,TrialState.COMPLETE,0.8564200310432039,2020-01-05 20:20:19.392819,2020-01-05 20:20:20.572764,10,0.8564200310432039,5
6,6,TrialState.COMPLETE,0.8541634190754301,2020-01-05 20:20:19.980239,2020-01-05 20:20:21.599672,5,0.8541634190754301,6
7,7,TrialState.COMPLETE,0.8550099169740057,2020-01-05 20:20:20.570355,2020-01-05 20:20:21.595106,6,0.8550099169740057,7
8,8,TrialState.COMPLETE,0.8539326125707198,2020-01-05 20:20:20.575660,2020-01-05 20:20:22.422774,4,0.8539326125707198,8
9,9,TrialState.COMPLETE,0.7668182422550194,2020-01-05 20:20:21.598655,2020-01-05 20:20:22.863843,1,0.7668182422550194,9
10,10,TrialState.COMPLETE,0.8571404523661734,2020-01-05 20:20:21.602459,2020-01-05 20:20:24.928036,9,0.8571404523661734,10
11,11,TrialState.COMPLETE,0.7668182422550194,2020-01-05 20:20:22.423453,2020-01-05 20:20:23.821499,1,0.7668182422550194,11
12,12,TrialState.COMPLETE,0.856364537583536,2020-01-05 20:20:22.884766,2020-01-05 20:20:24.626228,8,0.856364537583536,12
13,13,TrialState.COMPLETE,0.8546204246647712,2020-01-05 20:20:23.143075,2020-01-05 20:20:24.408220,7,0.8546204246647712,13
14,14,TrialState.COMPLETE,0.8564200310432039,2020-01-05 20:20:23.876205,2020-01-05 20:20:25.316536,10,0.8564200310432039,14
15,15,TrialState.COMPLETE,0.8482373791885394,2020-01-05 20:20:24.408855,2020-01-05 20:20:25.787854,3,0.8482373791885394,15
16,16,TrialState.COMPLETE,0.8541634190754301,2020-01-05 20:20:24.635279,2020-01-05 20:20:26.191891,5,0.8541634190754301,16
17,17,TrialState.COMPLETE,0.8482373791885394,2020-01-05 20:20:24.953728,2020-01-05 20:20:26.548105,3,0.8482373791885394,17
18,18,TrialState.COMPLETE,0.856364537583536,2020-01-05 20:20:25.317528,2020-01-05 20:20:26.901917,8,0.856364537583536,18
19,19,TrialState.COMPLETE,0.856364537583536,2020-01-05 20:20:25.788464,2020-01-05 20:20:26.696644,8,0.856364537583536,19
