,number,state,value,datetime_start,datetime_complete,params,params,params,params,user_attrs,system_attrs,system_attrs
,,,,,,LogisticRegression_C,LogisticRegression_penalty,LogisticRegression_solver,model,score,_number,fail_reason
0,0,TrialState.COMPLETE,0.8561548306453162,2020-01-05 20:19:45.894315,2020-01-05 20:19:48.119967,0.4463579221587408,l1,liblinear,LogisticRegression,0.8561548306453162,0,
1,1,TrialState.COMPLETE,0.8440015727798171,2020-01-05 20:19:45.899234,2020-01-05 20:19:48.763838,1.0522074208880687,none,lbfgs,LogisticRegression,0.8440015727798171,1,
2,2,TrialState.COMPLETE,0.6613908471609262,2020-01-05 20:19:45.901333,2020-01-05 20:19:49.172066,0.4704225171370175,none,sag,LogisticRegression,0.6613908471609262,2,
3,3,TrialState.COMPLETE,0.6558259369309606,2020-01-05 20:19:45.903001,2020-01-05 20:19:48.282222,1.7392099348243453,none,saga,LogisticRegression,0.6558259369309606,3,
4,4,TrialState.FAIL,,2020-01-05 20:19:48.280858,2020-01-05 20:19:48.604091,0.23865834730464464,elasticnet,lbfgs,LogisticRegression,,4,Setting status of trial#4 as TrialState.FAIL because the objective function returned nan.
5,5,TrialState.COMPLETE,0.6613908471609262,2020-01-05 20:19:48.284300,2020-01-05 20:19:49.297816,0.12355065022247969,l2,sag,LogisticRegression,0.6613908471609262,5,
6,6,TrialState.FAIL,,2020-01-05 20:19:48.604185,2020-01-05 20:19:49.173539,0.10171647165746538,l1,sag,LogisticRegression,,6,Setting status of trial#6 as TrialState.FAIL because the objective function returned nan.
7,7,TrialState.COMPLETE,0.6613908471609262,2020-01-05 20:19:48.769205,2020-01-05 20:19:50.053410,1.0616405037181287,none,sag,LogisticRegression,0.6613908471609262,7,
8,8,TrialState.FAIL,,2020-01-05 20:19:49.174427,2020-01-05 20:19:49.568641,0.11942632497879388,l1,newton-cg,LogisticRegression,,8,Setting status of trial#8 as TrialState.FAIL because the objective function returned nan.
9,9,TrialState.COMPLETE,0.6613908471609262,2020-01-05 20:19:49.176121,2020-01-05 20:19:50.171463,2.3053828345761915,l2,sag,LogisticRegression,0.6613908471609262,9,
10,10,TrialState.COMPLETE,0.8462397479570571,2020-01-05 20:19:49.298352,2020-01-05 20:19:50.472532,1.0490494993478143,l2,lbfgs,LogisticRegression,0.8462397479570571,10,
11,11,TrialState.FAIL,,2020-01-05 20:19:49.570063,2020-01-05 20:19:49.873855,4.136832923424028,none,liblinear,LogisticRegression,,11,Setting status of trial#11 as TrialState.FAIL because the objective function returned nan.
12,12,TrialState.FAIL,,2020-01-05 20:19:50.173165,2020-01-05 20:19:50.333479,0.15122800663619854,none,liblinear,LogisticRegression,,12,Setting status of trial#12 as TrialState.FAIL because the objective function returned nan.
13,13,TrialState.COMPLETE,0.8556804725734075,2020-01-05 20:19:50.331279,2020-01-05 20:19:50.910948,0.642643570780947,l2,liblinear,LogisticRegression,0.8556804725734075,13,
14,14,TrialState.FAIL,,2020-01-05 20:19:50.337082,2020-01-05 20:19:50.744227,0.22912152087814164,none,liblinear,LogisticRegression,,14,Setting status of trial#14 as TrialState.FAIL because the objective function returned nan.
15,15,TrialState.FAIL,,2020-01-05 20:19:50.343856,2020-01-05 20:19:50.730389,0.2929856681116771,elasticnet,lbfgs,LogisticRegression,,15,Setting status of trial#15 as TrialState.FAIL because the objective function returned nan.
16,16,TrialState.COMPLETE,0.8560495852255396,2020-01-05 20:19:51.173993,2020-01-05 20:19:52.543649,3.065950749427091,l2,newton-cg,LogisticRegression,0.8560495852255396,16,
17,17,TrialState.FAIL,,2020-01-05 20:19:51.175379,2020-01-05 20:19:51.712439,1.2335129416328425,l1,newton-cg,LogisticRegression,,17,Setting status of trial#17 as TrialState.FAIL because the objective function returned nan.
18,18,TrialState.FAIL,,2020-01-05 20:19:51.177296,2020-01-05 20:19:51.328864,1.7439823329118558,elasticnet,liblinear,LogisticRegression,,18,Setting status of trial#18 as TrialState.FAIL because the objective function returned nan.
19,19,TrialState.FAIL,,2020-01-05 20:19:51.178561,2020-01-05 20:19:51.495198,4.198385073370127,elasticnet,sag,LogisticRegression,,19,Setting status of trial#19 as TrialState.FAIL because the objective function returned nan.
20,20,TrialState.FAIL,,2020-01-05 20:19:52.176246,2020-01-05 20:19:52.560152,0.8714424303312448,elasticnet,lbfgs,LogisticRegression,,20,Setting status of trial#20 as TrialState.FAIL because the objective function returned nan.
21,21,TrialState.FAIL,,2020-01-05 20:19:52.194900,2020-01-05 20:19:52.818329,2.428326340553846,elasticnet,liblinear,LogisticRegression,,21,Setting status of trial#21 as TrialState.FAIL because the objective function returned nan.
22,22,TrialState.FAIL,,2020-01-05 20:19:52.202073,2020-01-05 20:19:52.818962,0.25144636631962675,l1,lbfgs,LogisticRegression,,22,Setting status of trial#22 as TrialState.FAIL because the objective function returned nan.
23,23,TrialState.COMPLETE,0.836058245468837,2020-01-05 20:19:52.684253,2020-01-05 20:19:53.213640,0.7765357320241555,l2,lbfgs,LogisticRegression,0.836058245468837,23,
24,24,TrialState.COMPLETE,0.6558259369309606,2020-01-05 20:19:53.214292,2020-01-05 20:19:54.164232,0.6291022677960844,l2,saga,LogisticRegression,0.6558259369309606,24,
25,25,TrialState.FAIL,,2020-01-05 20:19:53.220788,2020-01-05 20:19:53.422411,1.1399783826697139,none,liblinear,LogisticRegression,,25,Setting status of trial#25 as TrialState.FAIL because the objective function returned nan.
26,26,TrialState.FAIL,,2020-01-05 20:19:53.422615,2020-01-05 20:19:53.912562,2.8734534801592018,elasticnet,saga,LogisticRegression,,26,Setting status of trial#26 as TrialState.FAIL because the objective function returned nan.
27,27,TrialState.FAIL,,2020-01-05 20:19:53.425630,2020-01-05 20:19:53.919998,0.5918745132878106,elasticnet,liblinear,LogisticRegression,,27,Setting status of trial#27 as TrialState.FAIL because the objective function returned nan.
28,28,TrialState.COMPLETE,0.856075452191973,2020-01-05 20:19:54.214074,2020-01-05 20:19:55.229420,1.779357713437642,none,newton-cg,LogisticRegression,0.856075452191973,28,
29,29,TrialState.FAIL,,2020-01-05 20:19:54.216986,2020-01-05 20:19:54.509697,3.1685503028056727,elasticnet,lbfgs,LogisticRegression,,29,Setting status of trial#29 as TrialState.FAIL because the objective function returned nan.
30,30,TrialState.COMPLETE,0.8440015727798171,2020-01-05 20:19:54.219247,2020-01-05 20:19:55.108679,0.2889746468759545,none,lbfgs,LogisticRegression,0.8440015727798171,30,
31,31,TrialState.COMPLETE,0.8559447130921122,2020-01-05 20:19:54.221068,2020-01-05 20:19:54.783318,1.7570513875277773,l2,liblinear,LogisticRegression,0.8559447130921122,31,
32,32,TrialState.COMPLETE,0.6558259369309606,2020-01-05 20:19:55.230715,2020-01-05 20:19:55.916750,0.5650759125568157,l2,saga,LogisticRegression,0.6558259369309606,32,
33,33,TrialState.FAIL,,2020-01-05 20:19:55.234027,2020-01-05 20:19:55.624052,0.10058839984790888,l1,newton-cg,LogisticRegression,,33,Setting status of trial#33 as TrialState.FAIL because the objective function returned nan.
34,34,TrialState.COMPLETE,0.856075452191973,2020-01-05 20:19:55.239612,2020-01-05 20:19:56.234748,2.097919290415822,none,newton-cg,LogisticRegression,0.856075452191973,34,
35,35,TrialState.FAIL,,2020-01-05 20:19:55.243132,2020-01-05 20:19:55.479745,0.7222044351815037,elasticnet,liblinear,LogisticRegression,,35,Setting status of trial#35 as TrialState.FAIL because the objective function returned nan.
36,36,TrialState.COMPLETE,0.8411314309238943,2020-01-05 20:19:56.235514,2020-01-05 20:19:56.936373,0.3997630548821397,l2,lbfgs,LogisticRegression,0.8411314309238943,36,
37,37,TrialState.FAIL,,2020-01-05 20:19:56.245728,2020-01-05 20:19:56.425737,0.2657336644735885,elasticnet,sag,LogisticRegression,,37,Setting status of trial#37 as TrialState.FAIL because the objective function returned nan.
38,38,TrialState.COMPLETE,0.855891724206091,2020-01-05 20:19:56.257169,2020-01-05 20:19:57.200483,0.9946543041153962,l2,newton-cg,LogisticRegression,0.855891724206091,38,
39,39,TrialState.FAIL,,2020-01-05 20:19:56.263924,2020-01-05 20:19:56.548621,3.8271738283529566,l1,sag,LogisticRegression,,39,Setting status of trial#39 as TrialState.FAIL because the objective function returned nan.
40,40,TrialState.COMPLETE,0.8459291239431552,2020-01-05 20:19:57.238155,2020-01-05 20:19:58.035852,4.364761867883932,l2,lbfgs,LogisticRegression,0.8459291239431552,40,
41,41,TrialState.COMPLETE,0.6558259369309606,2020-01-05 20:19:57.248589,2020-01-05 20:19:57.921312,4.4149886397389295,l2,saga,LogisticRegression,0.6558259369309606,41,
42,42,TrialState.FAIL,,2020-01-05 20:19:57.254019,2020-01-05 20:19:57.577833,0.48705773093327126,elasticnet,liblinear,LogisticRegression,,42,Setting status of trial#42 as TrialState.FAIL because the objective function returned nan.
43,43,TrialState.FAIL,,2020-01-05 20:19:57.255979,2020-01-05 20:19:57.412243,0.1187272390701519,elasticnet,newton-cg,LogisticRegression,,43,Setting status of trial#43 as TrialState.FAIL because the objective function returned nan.
44,44,TrialState.FAIL,,2020-01-05 20:19:58.238609,2020-01-05 20:19:58.421120,0.14766229930677222,elasticnet,lbfgs,LogisticRegression,,44,Setting status of trial#44 as TrialState.FAIL because the objective function returned nan.
45,45,TrialState.COMPLETE,0.8440015727798171,2020-01-05 20:19:58.241945,2020-01-05 20:19:58.909455,2.011370756272311,none,lbfgs,LogisticRegression,0.8440015727798171,45,
46,46,TrialState.COMPLETE,0.8563420497473384,2020-01-05 20:19:58.244595,2020-01-05 20:20:01.308334,1.1306140003023448,l1,liblinear,LogisticRegression,0.8563420497473384,46,
