,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.8454236586754948,2020-01-05 21:09:52.520321,2020-01-05 21:10:36.868732,46,BalancedBaggingClassifier,0.8454236586754948,0
1,1,TrialState.COMPLETE,0.8464902622034419,2020-01-05 21:09:52.523990,2020-01-05 21:10:36.355421,55,BalancedBaggingClassifier,0.8464902622034419,1
2,2,TrialState.COMPLETE,0.8461191835765384,2020-01-05 21:09:52.526398,2020-01-05 21:10:36.536621,47,BalancedBaggingClassifier,0.8461191835765384,2
3,3,TrialState.COMPLETE,0.8458493295421661,2020-01-05 21:09:52.528158,2020-01-05 21:10:37.201781,50,BalancedBaggingClassifier,0.8458493295421661,3
4,4,TrialState.COMPLETE,0.8458478257314457,2020-01-05 21:10:36.388781,2020-01-05 21:11:14.404292,51,BalancedBaggingClassifier,0.8458478257314457,4
5,5,TrialState.COMPLETE,0.8463268303296225,2020-01-05 21:10:36.538919,2020-01-05 21:11:14.192477,54,BalancedBaggingClassifier,0.8463268303296225,5
6,6,TrialState.COMPLETE,0.8456364923312762,2020-01-05 21:10:37.198184,2020-01-05 21:11:14.703140,49,BalancedBaggingClassifier,0.8456364923312762,6
7,7,TrialState.COMPLETE,0.8458493295421661,2020-01-05 21:10:37.202630,2020-01-05 21:11:15.115750,50,BalancedBaggingClassifier,0.8458493295421661,7
8,8,TrialState.COMPLETE,0.8457711029438428,2020-01-05 21:11:14.192911,2020-01-05 21:11:48.864342,48,BalancedBaggingClassifier,0.8457711029438428,8
9,9,TrialState.COMPLETE,0.8453705702464471,2020-01-05 21:11:14.422643,2020-01-05 21:11:49.002732,45,BalancedBaggingClassifier,0.8453705702464471,9
10,10,TrialState.COMPLETE,0.846274808433001,2020-01-05 21:11:14.710510,2020-01-05 21:11:49.192291,53,BalancedBaggingClassifier,0.846274808433001,10
11,11,TrialState.COMPLETE,0.8453705702464471,2020-01-05 21:11:15.117142,2020-01-05 21:11:49.475837,45,BalancedBaggingClassifier,0.8453705702464471,11
12,12,TrialState.COMPLETE,0.8460615374989245,2020-01-05 21:11:48.865425,2020-01-05 21:12:23.689975,52,BalancedBaggingClassifier,0.8460615374989245,12
13,13,TrialState.COMPLETE,0.8458478257314457,2020-01-05 21:11:49.003255,2020-01-05 21:12:23.866779,51,BalancedBaggingClassifier,0.8458478257314457,13
14,14,TrialState.COMPLETE,0.8463268303296225,2020-01-05 21:11:49.194716,2020-01-05 21:12:24.022697,54,BalancedBaggingClassifier,0.8463268303296225,14
15,15,TrialState.COMPLETE,0.8461191835765384,2020-01-05 21:11:49.490463,2020-01-05 21:12:24.191678,47,BalancedBaggingClassifier,0.8461191835765384,15
16,16,TrialState.COMPLETE,0.8456364923312762,2020-01-05 21:12:23.690431,2020-01-05 21:12:58.107623,49,BalancedBaggingClassifier,0.8456364923312762,16
17,17,TrialState.COMPLETE,0.8461191835765384,2020-01-05 21:12:23.874655,2020-01-05 21:13:00.330288,47,BalancedBaggingClassifier,0.8461191835765384,17
18,18,TrialState.COMPLETE,0.8460615374989245,2020-01-05 21:12:24.031927,2020-01-05 21:13:00.503866,52,BalancedBaggingClassifier,0.8460615374989245,18
19,19,TrialState.COMPLETE,0.8460615374989245,2020-01-05 21:12:24.192230,2020-01-05 21:13:00.657958,52,BalancedBaggingClassifier,0.8460615374989245,19
