,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8332603647398692,2020-01-05 21:54:26.376259,2020-01-05 21:54:29.287894,2,0.8332603647398692,0
1,1,TrialState.COMPLETE,0.8563428283160093,2020-01-05 21:54:26.379296,2020-01-05 21:54:31.210015,11,0.8563428283160093,1
2,2,TrialState.COMPLETE,0.8489817726053325,2020-01-05 21:54:26.381808,2020-01-05 21:54:33.065548,3,0.8489817726053325,2
3,3,TrialState.COMPLETE,0.8551995997659316,2020-01-05 21:54:26.384529,2020-01-05 21:54:32.661957,6,0.8551995997659316,3
4,4,TrialState.COMPLETE,0.8546217791609518,2020-01-05 21:54:29.289432,2020-01-05 21:54:30.840864,7,0.8546217791609518,4
5,5,TrialState.COMPLETE,0.8563428283160093,2020-01-05 21:54:30.842418,2020-01-05 21:54:31.803066,10,0.8563428283160093,5
6,6,TrialState.COMPLETE,0.854539393086168,2020-01-05 21:54:31.221966,2020-01-05 21:54:33.702975,5,0.854539393086168,6
7,7,TrialState.COMPLETE,0.8551995997659316,2020-01-05 21:54:31.804038,2020-01-05 21:54:35.654916,6,0.8551995997659316,7
8,8,TrialState.COMPLETE,0.8538413120624107,2020-01-05 21:54:32.672797,2020-01-05 21:54:33.695367,4,0.8538413120624107,8
9,9,TrialState.COMPLETE,0.7668182422550194,2020-01-05 21:54:33.067470,2020-01-05 21:54:34.887938,1,0.7668182422550194,9
10,10,TrialState.COMPLETE,0.8566636839309826,2020-01-05 21:54:33.696307,2020-01-05 21:54:37.349565,9,0.8566636839309826,10
11,11,TrialState.COMPLETE,0.7668182422550194,2020-01-05 21:54:33.703642,2020-01-05 21:54:36.496005,1,0.7668182422550194,11
12,12,TrialState.COMPLETE,0.8552689634797966,2020-01-05 21:54:34.888827,2020-01-05 21:54:37.099805,8,0.8552689634797966,12
13,13,TrialState.COMPLETE,0.8546481296220849,2020-01-05 21:54:35.661765,2020-01-05 21:54:36.958092,7,0.8546481296220849,13
14,14,TrialState.COMPLETE,0.8563428283160093,2020-01-05 21:54:36.497796,2020-01-05 21:54:37.673671,10,0.8563428283160093,14
15,15,TrialState.COMPLETE,0.8489817726053325,2020-01-05 21:54:37.101032,2020-01-05 21:54:39.889309,3,0.8489817726053325,15
16,16,TrialState.COMPLETE,0.854539393086168,2020-01-05 21:54:37.116403,2020-01-05 21:54:39.648853,5,0.854539393086168,16
17,17,TrialState.COMPLETE,0.8489817726053325,2020-01-05 21:54:37.362821,2020-01-05 21:54:38.194748,3,0.8489817726053325,17
18,18,TrialState.COMPLETE,0.855295701447711,2020-01-05 21:54:37.674648,2020-01-05 21:54:39.425094,8,0.855295701447711,18
19,19,TrialState.COMPLETE,0.8552689634797966,2020-01-05 21:54:38.195609,2020-01-05 21:54:40.290899,8,0.8552689634797966,19
