,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.8420402054283656,2020-01-05 22:24:56.262871,2020-01-05 22:25:11.183889,11,BalancedBaggingClassifier,0.8420402054283656,0
1,1,TrialState.COMPLETE,0.8441406272774913,2020-01-05 22:24:56.264507,2020-01-05 22:25:14.685947,20,BalancedBaggingClassifier,0.8441406272774913,1
2,2,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:24:56.265719,2020-01-05 22:25:13.925365,12,BalancedBaggingClassifier,0.843899896688559,2
3,3,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:24:56.266710,2020-01-05 22:25:13.167454,15,BalancedBaggingClassifier,0.8439597149372131,3
4,4,TrialState.COMPLETE,0.8443279850287289,2020-01-05 22:25:11.185830,2020-01-05 22:25:24.784466,16,BalancedBaggingClassifier,0.8443279850287289,4
5,5,TrialState.COMPLETE,0.8444887043550786,2020-01-05 22:25:13.168201,2020-01-05 22:25:27.768169,19,BalancedBaggingClassifier,0.8444887043550786,5
6,6,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:25:13.926912,2020-01-05 22:25:29.150783,14,BalancedBaggingClassifier,0.8445118054474211,6
7,7,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:25:14.686835,2020-01-05 22:25:29.792823,15,BalancedBaggingClassifier,0.8439597149372131,7
8,8,TrialState.COMPLETE,0.8441378258523194,2020-01-05 22:25:24.820803,2020-01-05 22:25:39.389907,13,BalancedBaggingClassifier,0.8441378258523194,8
9,9,TrialState.COMPLETE,0.8423826654351773,2020-01-05 22:25:27.770872,2020-01-05 22:25:42.473489,10,BalancedBaggingClassifier,0.8423826654351773,9
10,10,TrialState.COMPLETE,0.8444606118909833,2020-01-05 22:25:29.161813,2020-01-05 22:25:43.301980,18,BalancedBaggingClassifier,0.8444606118909833,10
11,11,TrialState.COMPLETE,0.8423826654351773,2020-01-05 22:25:29.794371,2020-01-05 22:25:44.857019,10,BalancedBaggingClassifier,0.8423826654351773,11
12,12,TrialState.COMPLETE,0.8451293028361941,2020-01-05 22:25:39.390711,2020-01-05 22:26:02.271458,17,BalancedBaggingClassifier,0.8451293028361941,12
13,13,TrialState.COMPLETE,0.8443279850287289,2020-01-05 22:25:42.478649,2020-01-05 22:26:05.196939,16,BalancedBaggingClassifier,0.8443279850287289,13
14,14,TrialState.COMPLETE,0.8444887043550786,2020-01-05 22:25:43.311407,2020-01-05 22:26:05.361804,19,BalancedBaggingClassifier,0.8444887043550786,14
15,15,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:25:44.857984,2020-01-05 22:26:05.524891,12,BalancedBaggingClassifier,0.843899896688559,15
16,16,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:26:02.272260,2020-01-05 22:26:15.674351,14,BalancedBaggingClassifier,0.8445118054474211,16
17,17,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:26:05.359689,2020-01-05 22:26:20.314757,12,BalancedBaggingClassifier,0.843899896688559,17
18,18,TrialState.COMPLETE,0.8451293028361941,2020-01-05 22:26:05.362779,2020-01-05 22:26:17.582964,17,BalancedBaggingClassifier,0.8451293028361941,18
19,19,TrialState.COMPLETE,0.8451293028361941,2020-01-05 22:26:05.525392,2020-01-05 22:26:17.842794,17,BalancedBaggingClassifier,0.8451293028361941,19
20,20,TrialState.COMPLETE,0.8441378258523194,2020-01-05 22:26:15.674879,2020-01-05 22:26:28.427496,13,BalancedBaggingClassifier,0.8441378258523194,20
21,21,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:26:17.588737,2020-01-05 22:26:28.670596,15,BalancedBaggingClassifier,0.8439597149372131,21
22,22,TrialState.COMPLETE,0.8451293028361941,2020-01-05 22:26:17.845974,2020-01-05 22:26:30.755978,17,BalancedBaggingClassifier,0.8451293028361941,22
23,23,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:26:20.330133,2020-01-05 22:26:33.649739,15,BalancedBaggingClassifier,0.8439597149372131,23
24,24,TrialState.COMPLETE,0.8441378258523194,2020-01-05 22:26:28.430539,2020-01-05 22:26:41.490055,13,BalancedBaggingClassifier,0.8441378258523194,24
25,25,TrialState.COMPLETE,0.8444606118909833,2020-01-05 22:26:28.676391,2020-01-05 22:26:42.347776,18,BalancedBaggingClassifier,0.8444606118909833,25
26,26,TrialState.COMPLETE,0.8444887043550786,2020-01-05 22:26:30.757800,2020-01-05 22:26:44.684566,19,BalancedBaggingClassifier,0.8444887043550786,26
27,27,TrialState.COMPLETE,0.8441406272774913,2020-01-05 22:26:33.653441,2020-01-05 22:26:48.671674,20,BalancedBaggingClassifier,0.8441406272774913,27
28,28,TrialState.COMPLETE,0.8441378258523194,2020-01-05 22:26:41.491187,2020-01-05 22:26:54.629210,13,BalancedBaggingClassifier,0.8441378258523194,28
29,29,TrialState.COMPLETE,0.8444887043550786,2020-01-05 22:26:42.353364,2020-01-05 22:26:56.015145,19,BalancedBaggingClassifier,0.8444887043550786,29
30,30,TrialState.COMPLETE,0.8423826654351773,2020-01-05 22:26:44.685377,2020-01-05 22:26:54.862807,10,BalancedBaggingClassifier,0.8423826654351773,30
31,31,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:26:48.724161,2020-01-05 22:27:02.399436,14,BalancedBaggingClassifier,0.8445118054474211,31
32,32,TrialState.COMPLETE,0.8444606118909833,2020-01-05 22:26:54.858620,2020-01-05 22:27:06.879625,18,BalancedBaggingClassifier,0.8444606118909833,32
33,33,TrialState.COMPLETE,0.8443279850287289,2020-01-05 22:26:54.968443,2020-01-05 22:27:07.627083,16,BalancedBaggingClassifier,0.8443279850287289,33
34,34,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:26:56.016201,2020-01-05 22:27:08.227587,15,BalancedBaggingClassifier,0.8439597149372131,34
35,35,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:27:02.423668,2020-01-05 22:27:13.673350,12,BalancedBaggingClassifier,0.843899896688559,35
36,36,TrialState.COMPLETE,0.8451293028361941,2020-01-05 22:27:06.881379,2020-01-05 22:27:17.550804,17,BalancedBaggingClassifier,0.8451293028361941,36
37,37,TrialState.COMPLETE,0.8439597149372131,2020-01-05 22:27:07.627882,2020-01-05 22:27:18.015756,15,BalancedBaggingClassifier,0.8439597149372131,37
38,38,TrialState.COMPLETE,0.8441378258523194,2020-01-05 22:27:08.239102,2020-01-05 22:27:19.248944,13,BalancedBaggingClassifier,0.8441378258523194,38
39,39,TrialState.COMPLETE,0.8443279850287289,2020-01-05 22:27:13.674475,2020-01-05 22:27:23.923691,16,BalancedBaggingClassifier,0.8443279850287289,39
40,40,TrialState.COMPLETE,0.8420402054283656,2020-01-05 22:27:17.551814,2020-01-05 22:27:27.542792,11,BalancedBaggingClassifier,0.8420402054283656,40
41,41,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:27:18.016940,2020-01-05 22:27:29.426014,14,BalancedBaggingClassifier,0.8445118054474211,41
42,42,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:27:19.261376,2020-01-05 22:27:30.383395,12,BalancedBaggingClassifier,0.843899896688559,42
43,43,TrialState.COMPLETE,0.8441406272774913,2020-01-05 22:27:23.928416,2020-01-05 22:27:36.590332,20,BalancedBaggingClassifier,0.8441406272774913,43
44,44,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:27:27.545131,2020-01-05 22:27:40.322783,14,BalancedBaggingClassifier,0.8445118054474211,44
45,45,TrialState.COMPLETE,0.8420402054283656,2020-01-05 22:27:29.426985,2020-01-05 22:27:40.953614,11,BalancedBaggingClassifier,0.8420402054283656,45
46,46,TrialState.COMPLETE,0.8441406272774913,2020-01-05 22:27:30.390769,2020-01-05 22:27:42.236108,20,BalancedBaggingClassifier,0.8441406272774913,46
47,47,TrialState.COMPLETE,0.843899896688559,2020-01-05 22:27:36.622466,2020-01-05 22:27:46.713990,12,BalancedBaggingClassifier,0.843899896688559,47
48,48,TrialState.COMPLETE,0.8445118054474211,2020-01-05 22:27:40.323785,2020-01-05 22:27:48.000056,14,BalancedBaggingClassifier,0.8445118054474211,48
49,49,TrialState.COMPLETE,0.8443279850287289,2020-01-05 22:27:40.969971,2020-01-05 22:27:48.194600,16,BalancedBaggingClassifier,0.8443279850287289,49
