,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.8553338566452435,2020-01-05 22:51:41.202554,2020-01-05 22:54:36.205370,46,BalancedBaggingClassifier,0.8553338566452435,0
1,1,TrialState.COMPLETE,0.8555216019032625,2020-01-05 22:51:41.206930,2020-01-05 22:54:14.450596,55,BalancedBaggingClassifier,0.8555216019032625,1
2,2,TrialState.COMPLETE,0.855656454263179,2020-01-05 22:51:41.208434,2020-01-05 22:54:35.921432,59,BalancedBaggingClassifier,0.855656454263179,2
3,3,TrialState.COMPLETE,0.855253255234719,2020-01-05 22:51:41.209393,2020-01-05 22:54:14.220399,47,BalancedBaggingClassifier,0.855253255234719,3
4,4,TrialState.COMPLETE,0.8557355056465783,2020-01-05 22:54:14.226998,2020-01-05 22:56:45.947998,57,BalancedBaggingClassifier,0.8557355056465783,4
5,5,TrialState.COMPLETE,0.855656454263179,2020-01-05 22:54:14.451279,2020-01-05 22:57:08.042442,59,BalancedBaggingClassifier,0.855656454263179,5
6,6,TrialState.COMPLETE,0.8552809139756276,2020-01-05 22:54:35.934215,2020-01-05 22:57:08.270190,50,BalancedBaggingClassifier,0.8552809139756276,6
7,7,TrialState.COMPLETE,0.8555727527984033,2020-01-05 22:54:36.206166,2020-01-05 22:57:30.540181,51,BalancedBaggingClassifier,0.8555727527984033,7
8,8,TrialState.COMPLETE,0.8555215556868575,2020-01-05 22:56:45.948992,2020-01-05 22:59:29.168304,54,BalancedBaggingClassifier,0.8555215556868575,8
9,9,TrialState.COMPLETE,0.8553604488537264,2020-01-05 22:57:08.264508,2020-01-05 22:59:29.398967,49,BalancedBaggingClassifier,0.8553604488537264,9
10,10,TrialState.COMPLETE,0.8556022530853005,2020-01-05 22:57:08.281090,2020-01-05 22:59:54.221643,58,BalancedBaggingClassifier,0.8556022530853005,10
11,11,TrialState.COMPLETE,0.8557085259313139,2020-01-05 22:57:30.581071,2020-01-05 23:00:24.999073,56,BalancedBaggingClassifier,0.8557085259313139,11
12,12,TrialState.COMPLETE,0.855656454263179,2020-01-05 22:59:29.210219,2020-01-05 23:02:20.747761,59,BalancedBaggingClassifier,0.855656454263179,12
13,13,TrialState.COMPLETE,0.8552809139756276,2020-01-05 22:59:29.399599,2020-01-05 23:02:01.574489,50,BalancedBaggingClassifier,0.8552809139756276,13
14,14,TrialState.COMPLETE,0.8553612238672892,2020-01-05 22:59:54.222325,2020-01-05 23:02:20.943534,48,BalancedBaggingClassifier,0.8553612238672892,14
15,15,TrialState.COMPLETE,0.8553058566139586,2020-01-05 23:00:25.020238,2020-01-05 23:03:07.425878,45,BalancedBaggingClassifier,0.8553058566139586,15
16,16,TrialState.COMPLETE,0.8556279742923024,2020-01-05 23:02:01.576287,2020-01-05 23:04:48.856127,53,BalancedBaggingClassifier,0.8556279742923024,16
17,17,TrialState.COMPLETE,0.8553058566139586,2020-01-05 23:02:20.748401,2020-01-05 23:05:04.156047,45,BalancedBaggingClassifier,0.8553058566139586,17
18,18,TrialState.COMPLETE,0.8557355056465783,2020-01-05 23:02:20.944314,2020-01-05 23:05:03.875916,57,BalancedBaggingClassifier,0.8557355056465783,18
19,19,TrialState.COMPLETE,0.8555213139395077,2020-01-05 23:03:07.435499,2020-01-05 23:05:56.971038,52,BalancedBaggingClassifier,0.8555213139395077,19
20,20,TrialState.COMPLETE,0.8557355056465783,2020-01-05 23:04:48.857085,2020-01-05 23:07:32.101806,57,BalancedBaggingClassifier,0.8557355056465783,20
21,21,TrialState.COMPLETE,0.8555727527984033,2020-01-05 23:05:03.898197,2020-01-05 23:07:32.375407,51,BalancedBaggingClassifier,0.8555727527984033,21
22,22,TrialState.COMPLETE,0.8555215556868575,2020-01-05 23:05:04.196163,2020-01-05 23:07:57.129374,54,BalancedBaggingClassifier,0.8555215556868575,22
23,23,TrialState.COMPLETE,0.855253255234719,2020-01-05 23:05:57.060543,2020-01-05 23:08:18.648439,47,BalancedBaggingClassifier,0.855253255234719,23
24,24,TrialState.COMPLETE,0.8553604488537264,2020-01-05 23:07:32.165082,2020-01-05 23:10:23.939969,49,BalancedBaggingClassifier,0.8553604488537264,24
25,25,TrialState.COMPLETE,0.855253255234719,2020-01-05 23:07:32.376073,2020-01-05 23:10:24.159327,47,BalancedBaggingClassifier,0.855253255234719,25
26,26,TrialState.COMPLETE,0.8555213139395077,2020-01-05 23:07:57.133637,2020-01-05 23:10:24.431448,52,BalancedBaggingClassifier,0.8555213139395077,26
27,27,TrialState.COMPLETE,0.8555213139395077,2020-01-05 23:08:18.649060,2020-01-05 23:11:22.566573,52,BalancedBaggingClassifier,0.8555213139395077,27
28,28,TrialState.COMPLETE,0.8553612238672892,2020-01-05 23:10:24.138121,2020-01-05 23:12:51.761676,48,BalancedBaggingClassifier,0.8553612238672892,28
29,29,TrialState.COMPLETE,0.8552809139756276,2020-01-05 23:10:24.159971,2020-01-05 23:13:15.322023,50,BalancedBaggingClassifier,0.8552809139756276,29
30,30,TrialState.COMPLETE,0.8555213139395077,2020-01-05 23:10:24.432228,2020-01-05 23:13:15.604967,52,BalancedBaggingClassifier,0.8555213139395077,30
31,31,TrialState.COMPLETE,0.8552809139756276,2020-01-05 23:11:22.567874,2020-01-05 23:13:36.986108,50,BalancedBaggingClassifier,0.8552809139756276,31
32,32,TrialState.COMPLETE,0.8553612238672892,2020-01-05 23:12:51.785836,2020-01-05 23:15:30.913175,48,BalancedBaggingClassifier,0.8553612238672892,32
33,33,TrialState.COMPLETE,0.8556279742923024,2020-01-05 23:13:15.329807,2020-01-05 23:15:31.135173,53,BalancedBaggingClassifier,0.8556279742923024,33
34,34,TrialState.COMPLETE,0.8555215556868575,2020-01-05 23:13:15.613286,2020-01-05 23:15:56.957488,54,BalancedBaggingClassifier,0.8555215556868575,34
35,35,TrialState.COMPLETE,0.8555216019032625,2020-01-05 23:13:36.986805,2020-01-05 23:16:26.029559,55,BalancedBaggingClassifier,0.8555216019032625,35
36,36,TrialState.COMPLETE,0.8556557752375346,2020-01-05 23:15:30.922390,2020-01-05 23:18:12.696105,60,BalancedBaggingClassifier,0.8556557752375346,36
37,37,TrialState.COMPLETE,0.8553612238672892,2020-01-05 23:15:31.136160,2020-01-05 23:18:35.453462,48,BalancedBaggingClassifier,0.8553612238672892,37
38,38,TrialState.COMPLETE,0.8555215556868575,2020-01-05 23:15:56.979445,2020-01-05 23:18:56.097823,54,BalancedBaggingClassifier,0.8555215556868575,38
39,39,TrialState.COMPLETE,0.8553058566139586,2020-01-05 23:16:26.036092,2020-01-05 23:19:14.337738,45,BalancedBaggingClassifier,0.8553058566139586,39
40,40,TrialState.COMPLETE,0.8553604488537264,2020-01-05 23:18:12.696880,2020-01-05 23:20:54.414730,49,BalancedBaggingClassifier,0.8553604488537264,40
41,41,TrialState.COMPLETE,0.8556022530853005,2020-01-05 23:18:35.454199,2020-01-05 23:21:18.225025,58,BalancedBaggingClassifier,0.8556022530853005,41
42,42,TrialState.COMPLETE,0.8556279742923024,2020-01-05 23:18:56.115879,2020-01-05 23:21:40.309929,53,BalancedBaggingClassifier,0.8556279742923024,42
43,43,TrialState.COMPLETE,0.8555727527984033,2020-01-05 23:19:14.338362,2020-01-05 23:21:40.576715,51,BalancedBaggingClassifier,0.8555727527984033,43
44,44,TrialState.COMPLETE,0.8552809139756276,2020-01-05 23:20:54.415501,2020-01-05 23:23:43.113636,50,BalancedBaggingClassifier,0.8552809139756276,44
45,45,TrialState.COMPLETE,0.855253255234719,2020-01-05 23:21:18.227893,2020-01-05 23:24:06.907351,47,BalancedBaggingClassifier,0.855253255234719,45
46,46,TrialState.COMPLETE,0.8556557752375346,2020-01-05 23:21:40.310602,2020-01-05 23:24:07.142662,60,BalancedBaggingClassifier,0.8556557752375346,46
