,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8332603647398692,2020-01-05 23:58:22.746123,2020-01-05 23:58:24.462619,2,0.8332603647398692,0
1,1,TrialState.COMPLETE,0.8489550346374181,2020-01-05 23:58:22.751665,2020-01-05 23:58:24.570517,3,0.8489550346374181,1
2,2,TrialState.COMPLETE,0.8549578453058707,2020-01-05 23:58:22.753434,2020-01-05 23:58:23.938150,6,0.8549578453058707,2
3,3,TrialState.COMPLETE,0.8546480336341666,2020-01-05 23:58:22.756899,2020-01-05 23:58:23.946875,7,0.8546480336341666,3
4,4,TrialState.COMPLETE,0.8564224094105134,2020-01-05 23:58:23.947971,2020-01-05 23:58:25.114331,10,0.8564224094105134,4
5,5,TrialState.COMPLETE,0.8546445531833505,2020-01-05 23:58:23.960380,2020-01-05 23:58:25.266776,5,0.8546445531833505,5
6,6,TrialState.COMPLETE,0.8549578453058707,2020-01-05 23:58:24.475162,2020-01-05 23:58:25.478331,6,0.8549578453058707,6
7,7,TrialState.COMPLETE,0.8539610001087862,2020-01-05 23:58:24.571431,2020-01-05 23:58:25.664315,4,0.8539610001087862,7
8,8,TrialState.COMPLETE,0.7668182422550194,2020-01-05 23:58:25.114957,2020-01-05 23:58:26.589542,1,0.7668182422550194,8
9,9,TrialState.COMPLETE,0.8568506044039257,2020-01-05 23:58:25.267500,2020-01-05 23:58:25.960340,9,0.8568506044039257,9
10,10,TrialState.COMPLETE,0.7668182422550194,2020-01-05 23:58:25.502752,2020-01-05 23:58:26.916708,1,0.7668182422550194,10
11,11,TrialState.COMPLETE,0.8561738842471028,2020-01-05 23:58:25.668012,2020-01-05 23:58:26.326767,8,0.8561738842471028,11
12,12,TrialState.COMPLETE,0.8546480336341666,2020-01-05 23:58:25.961354,2020-01-05 23:58:27.167611,7,0.8546480336341666,12
13,13,TrialState.COMPLETE,0.8564755938274793,2020-01-05 23:58:26.327725,2020-01-05 23:58:27.619260,10,0.8564755938274793,13
14,14,TrialState.COMPLETE,0.8489550346374181,2020-01-05 23:58:26.590659,2020-01-05 23:58:27.776926,3,0.8489550346374181,14
15,15,TrialState.COMPLETE,0.8546445531833505,2020-01-05 23:58:26.924979,2020-01-05 23:58:28.023341,5,0.8546445531833505,15
16,16,TrialState.COMPLETE,0.8489550346374181,2020-01-05 23:58:27.168243,2020-01-05 23:58:28.250104,3,0.8489550346374181,16
17,17,TrialState.COMPLETE,0.8561738842471028,2020-01-05 23:58:27.620552,2020-01-05 23:58:28.443757,8,0.8561738842471028,17
18,18,TrialState.COMPLETE,0.8561738842471028,2020-01-05 23:58:27.787820,2020-01-05 23:58:28.621474,8,0.8561738842471028,18
19,19,TrialState.COMPLETE,0.8539610001087862,2020-01-05 23:58:28.023789,2020-01-05 23:58:28.836538,4,0.8539610001087862,19
