,number,state,value,datetime_start,datetime_complete,params,params,params,user_attrs,system_attrs,system_attrs
,,,,,,LogisticRegression_C,LogisticRegression_solver,model,score,_number,fail_reason
0,0,TrialState.COMPLETE,0.8561553745768533,2020-01-06 00:02:17.988525,2020-01-06 00:02:18.484197,3.6764327853596357,liblinear,LogisticRegression,0.8561553745768533,0,
1,1,TrialState.COMPLETE,0.8562071405056928,2020-01-06 00:02:17.990140,2020-01-06 00:02:18.744239,0.40050870491017654,liblinear,LogisticRegression,0.8562071405056928,1,
2,2,TrialState.FAIL,,2020-01-06 00:02:17.991626,2020-01-06 00:02:18.201725,1.1437476896069176,lbfgs,LogisticRegression,,2,Setting status of trial#2 as TrialState.FAIL because the objective function returned nan.
3,3,TrialState.COMPLETE,0.8552378331758421,2020-01-06 00:02:17.993572,2020-01-06 00:02:18.616405,0.20966408348996485,liblinear,LogisticRegression,0.8552378331758421,3,
4,4,TrialState.FAIL,,2020-01-06 00:02:18.991096,2020-01-06 00:02:19.304206,0.9479803504369789,newton-cg,LogisticRegression,,4,Setting status of trial#4 as TrialState.FAIL because the objective function returned nan.
5,5,TrialState.FAIL,,2020-01-06 00:02:18.993747,2020-01-06 00:02:19.298061,1.7392099348243453,newton-cg,LogisticRegression,,5,Setting status of trial#5 as TrialState.FAIL because the objective function returned nan.
6,6,TrialState.COMPLETE,0.8559947050220169,2020-01-06 00:02:18.996068,2020-01-06 00:02:19.631160,4.471484650412303,liblinear,LogisticRegression,0.8559947050220169,6,
7,7,TrialState.FAIL,,2020-01-06 00:02:18.997722,2020-01-06 00:02:19.463986,4.017836504426097,newton-cg,LogisticRegression,,7,Setting status of trial#7 as TrialState.FAIL because the objective function returned nan.
8,8,TrialState.FAIL,,2020-01-06 00:02:19.996606,2020-01-06 00:02:20.437652,0.10507566179690735,lbfgs,LogisticRegression,,8,Setting status of trial#8 as TrialState.FAIL because the objective function returned nan.
9,9,TrialState.FAIL,,2020-01-06 00:02:19.999195,2020-01-06 00:02:20.572429,0.10171647165746538,newton-cg,LogisticRegression,,9,Setting status of trial#9 as TrialState.FAIL because the objective function returned nan.
10,10,TrialState.FAIL,,2020-01-06 00:02:20.001485,2020-01-06 00:02:20.287303,1.0616405037181287,lbfgs,LogisticRegression,,10,Setting status of trial#10 as TrialState.FAIL because the objective function returned nan.
11,11,TrialState.FAIL,,2020-01-06 00:02:20.002802,2020-01-06 00:02:20.293930,0.11942632497879388,lbfgs,LogisticRegression,,11,Setting status of trial#11 as TrialState.FAIL because the objective function returned nan.
12,12,TrialState.FAIL,,2020-01-06 00:02:21.000883,2020-01-06 00:02:21.465346,0.507642370416375,lbfgs,LogisticRegression,,12,Setting status of trial#12 as TrialState.FAIL because the objective function returned nan.
13,13,TrialState.FAIL,,2020-01-06 00:02:21.004695,2020-01-06 00:02:21.181118,1.0036232537079015,lbfgs,LogisticRegression,,13,Setting status of trial#13 as TrialState.FAIL because the objective function returned nan.
14,14,TrialState.COMPLETE,0.8563428283160093,2020-01-06 00:02:21.007904,2020-01-06 00:02:21.690903,1.9958831432523132,liblinear,LogisticRegression,0.8563428283160093,14,
