,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8332603647398692,2020-01-06 00:50:34.309546,2020-01-06 00:50:34.942997,2,0.8332603647398692,0
1,1,TrialState.COMPLETE,0.8485013672945698,2020-01-06 00:50:34.314536,2020-01-06 00:50:35.088994,3,0.8485013672945698,1
2,2,TrialState.COMPLETE,0.8555696225257338,2020-01-06 00:50:34.315632,2020-01-06 00:50:35.247001,6,0.8555696225257338,2
3,3,TrialState.COMPLETE,0.8548347159148679,2020-01-06 00:50:34.316785,2020-01-06 00:50:34.782764,7,0.8548347159148679,3
4,4,TrialState.COMPLETE,0.8569263566470212,2020-01-06 00:50:35.312746,2020-01-06 00:50:35.548124,10,0.8569263566470212,4
5,5,TrialState.COMPLETE,0.8546965786350803,2020-01-06 00:50:35.315321,2020-01-06 00:50:36.034425,5,0.8546965786350803,5
6,6,TrialState.COMPLETE,0.8555696225257338,2020-01-06 00:50:35.317512,2020-01-06 00:50:35.885559,6,0.8555696225257338,6
7,7,TrialState.COMPLETE,0.8543432222219852,2020-01-06 00:50:35.321582,2020-01-06 00:50:36.188896,4,0.8543432222219852,7
8,8,TrialState.COMPLETE,0.7668182422550194,2020-01-06 00:50:36.312964,2020-01-06 00:50:37.282390,1,0.7668182422550194,8
9,9,TrialState.COMPLETE,0.8569549859324372,2020-01-06 00:50:36.316003,2020-01-06 00:50:37.159411,9,0.8569549859324372,9
10,10,TrialState.COMPLETE,0.7668182422550194,2020-01-06 00:50:36.319276,2020-01-06 00:50:37.008671,1,0.7668182422550194,10
11,11,TrialState.COMPLETE,0.8558799550207723,2020-01-06 00:50:36.321389,2020-01-06 00:50:36.835369,8,0.8558799550207723,11
12,12,TrialState.COMPLETE,0.8548079779469535,2020-01-06 00:50:37.314329,2020-01-06 00:50:37.815339,7,0.8548079779469535,12
13,13,TrialState.COMPLETE,0.8568728807111923,2020-01-06 00:50:37.315480,2020-01-06 00:50:37.637917,10,0.8568728807111923,13
14,14,TrialState.COMPLETE,0.8485013672945698,2020-01-06 00:50:37.375963,2020-01-06 00:50:38.173489,3,0.8485013672945698,14
15,15,TrialState.COMPLETE,0.8546965786350803,2020-01-06 00:50:37.377829,2020-01-06 00:50:38.004228,5,0.8546965786350803,15
16,16,TrialState.COMPLETE,0.8485013672945698,2020-01-06 00:50:38.317982,2020-01-06 00:50:39.045178,3,0.8485013672945698,16
17,17,TrialState.COMPLETE,0.8558799550207723,2020-01-06 00:50:38.320883,2020-01-06 00:50:38.689834,8,0.8558799550207723,17
18,18,TrialState.COMPLETE,0.8558799550207723,2020-01-06 00:50:38.328255,2020-01-06 00:50:38.880806,8,0.8558799550207723,18
19,19,TrialState.COMPLETE,0.8543432222219852,2020-01-06 00:50:38.329790,2020-01-06 00:50:39.180261,4,0.8543432222219852,19
