,number,state,value,datetime_start,datetime_complete,params,params,user_attrs,system_attrs
,,,,,,BalancedBaggingClassifier_n_estimators,model,score,_number
0,0,TrialState.COMPLETE,0.853164152849739,2020-01-06 00:50:44.358147,2020-01-06 00:51:27.729072,46,BalancedBaggingClassifier,0.853164152849739,0
1,1,TrialState.COMPLETE,0.8536185489897449,2020-01-06 00:50:44.361183,2020-01-06 00:51:27.903538,55,BalancedBaggingClassifier,0.8536185489897449,1
2,2,TrialState.COMPLETE,0.8534853959714936,2020-01-06 00:50:44.364009,2020-01-06 00:51:35.465488,47,BalancedBaggingClassifier,0.8534853959714936,2
3,3,TrialState.COMPLETE,0.8536447074750413,2020-01-06 00:50:44.365177,2020-01-06 00:51:28.406652,50,BalancedBaggingClassifier,0.8536447074750413,3
4,4,TrialState.COMPLETE,0.8534842796675546,2020-01-06 00:51:27.732728,2020-01-06 00:52:02.517822,51,BalancedBaggingClassifier,0.8534842796675546,4
5,5,TrialState.COMPLETE,0.8536724124323551,2020-01-06 00:51:27.904421,2020-01-06 00:52:03.014720,54,BalancedBaggingClassifier,0.8536724124323551,5
6,6,TrialState.COMPLETE,0.8535654143442925,2020-01-06 00:51:28.407496,2020-01-06 00:52:03.119590,49,BalancedBaggingClassifier,0.8535654143442925,6
7,7,TrialState.COMPLETE,0.8536447074750413,2020-01-06 00:51:35.466540,2020-01-06 00:52:09.222616,50,BalancedBaggingClassifier,0.8536447074750413,7
8,8,TrialState.COMPLETE,0.8535656098752371,2020-01-06 00:52:02.585112,2020-01-06 00:52:37.718905,48,BalancedBaggingClassifier,0.8535656098752371,8
9,9,TrialState.COMPLETE,0.8527911295787126,2020-01-06 00:52:03.028949,2020-01-06 00:52:44.851822,45,BalancedBaggingClassifier,0.8527911295787126,9
10,10,TrialState.COMPLETE,0.8539104375840338,2020-01-06 00:52:03.120517,2020-01-06 00:52:49.155871,53,BalancedBaggingClassifier,0.8539104375840338,10
11,11,TrialState.COMPLETE,0.8527911295787126,2020-01-06 00:52:09.242176,2020-01-06 00:52:49.896702,45,BalancedBaggingClassifier,0.8527911295787126,11
12,12,TrialState.COMPLETE,0.8536173402529957,2020-01-06 00:52:37.757638,2020-01-06 00:53:30.577003,52,BalancedBaggingClassifier,0.8536173402529957,12
13,13,TrialState.COMPLETE,0.8534842796675546,2020-01-06 00:52:44.855110,2020-01-06 00:53:33.378094,51,BalancedBaggingClassifier,0.8534842796675546,13
14,14,TrialState.COMPLETE,0.8536724124323551,2020-01-06 00:52:49.763682,2020-01-06 00:53:35.196669,54,BalancedBaggingClassifier,0.8536724124323551,14
15,15,TrialState.COMPLETE,0.8534853959714936,2020-01-06 00:52:49.900721,2020-01-06 00:53:36.835631,47,BalancedBaggingClassifier,0.8534853959714936,15
16,16,TrialState.COMPLETE,0.8535654143442925,2020-01-06 00:53:30.578721,2020-01-06 00:54:05.201446,49,BalancedBaggingClassifier,0.8535654143442925,16
17,17,TrialState.COMPLETE,0.8534853959714936,2020-01-06 00:53:33.378862,2020-01-06 00:54:05.376526,47,BalancedBaggingClassifier,0.8534853959714936,17
18,18,TrialState.COMPLETE,0.8536173402529957,2020-01-06 00:53:35.197559,2020-01-06 00:54:07.661747,52,BalancedBaggingClassifier,0.8536173402529957,18
19,19,TrialState.COMPLETE,0.8536173402529957,2020-01-06 00:53:36.843982,2020-01-06 00:54:11.062428,52,BalancedBaggingClassifier,0.8536173402529957,19
20,20,TrialState.COMPLETE,0.8535656098752371,2020-01-06 00:54:05.210545,2020-01-06 00:54:42.160673,48,BalancedBaggingClassifier,0.8535656098752371,20
21,21,TrialState.COMPLETE,0.8536447074750413,2020-01-06 00:54:05.377285,2020-01-06 00:54:41.884175,50,BalancedBaggingClassifier,0.8536447074750413,21
22,22,TrialState.COMPLETE,0.8536173402529957,2020-01-06 00:54:07.665138,2020-01-06 00:54:42.346175,52,BalancedBaggingClassifier,0.8536173402529957,22
23,23,TrialState.COMPLETE,0.8536447074750413,2020-01-06 00:54:11.063226,2020-01-06 00:54:50.563092,50,BalancedBaggingClassifier,0.8536447074750413,23
24,24,TrialState.COMPLETE,0.8535656098752371,2020-01-06 00:54:41.887930,2020-01-06 00:55:16.857708,48,BalancedBaggingClassifier,0.8535656098752371,24
25,25,TrialState.COMPLETE,0.8539104375840338,2020-01-06 00:54:42.161270,2020-01-06 00:55:24.385056,53,BalancedBaggingClassifier,0.8539104375840338,25
26,26,TrialState.COMPLETE,0.8536724124323551,2020-01-06 00:54:42.346737,2020-01-06 00:55:17.167115,54,BalancedBaggingClassifier,0.8536724124323551,26
27,27,TrialState.COMPLETE,0.8536185489897449,2020-01-06 00:54:50.574280,2020-01-06 00:55:29.716591,55,BalancedBaggingClassifier,0.8536185489897449,27
28,28,TrialState.COMPLETE,0.8535656098752371,2020-01-06 00:55:16.858391,2020-01-06 00:55:40.127191,48,BalancedBaggingClassifier,0.8535656098752371,28
29,29,TrialState.COMPLETE,0.8536724124323551,2020-01-06 00:55:17.167947,2020-01-06 00:55:40.317566,54,BalancedBaggingClassifier,0.8536724124323551,29
