,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8332603647398692,2020-01-06 01:31:27.617432,2020-01-06 01:31:28.586655,2,0.8332603647398692,0
1,1,TrialState.COMPLETE,0.8485013672945698,2020-01-06 01:31:27.628714,2020-01-06 01:31:28.440397,3,0.8485013672945698,1
2,2,TrialState.COMPLETE,0.8555696225257338,2020-01-06 01:31:27.635407,2020-01-06 01:31:28.286737,6,0.8555696225257338,2
3,3,TrialState.COMPLETE,0.8548347159148679,2020-01-06 01:31:27.637447,2020-01-06 01:31:28.303979,7,0.8548347159148679,3
4,4,TrialState.COMPLETE,0.8569530946149355,2020-01-06 01:31:28.614586,2020-01-06 01:31:29.121031,10,0.8569530946149355,4
5,5,TrialState.COMPLETE,0.8546965786350803,2020-01-06 01:31:28.617165,2020-01-06 01:31:29.120265,5,0.8546965786350803,5
6,6,TrialState.COMPLETE,0.8555696225257338,2020-01-06 01:31:28.642223,2020-01-06 01:31:29.453479,6,0.8555696225257338,6
7,7,TrialState.COMPLETE,0.8543432222219852,2020-01-06 01:31:28.643361,2020-01-06 01:31:29.293327,4,0.8543432222219852,7
8,8,TrialState.COMPLETE,0.7668182422550194,2020-01-06 01:31:29.615047,2020-01-06 01:31:30.035125,1,0.7668182422550194,8
9,9,TrialState.COMPLETE,0.8569284897118727,2020-01-06 01:31:29.619016,2020-01-06 01:31:29.872041,9,0.8569284897118727,9
