,number,state,value,datetime_start,datetime_complete,params,user_attrs,system_attrs
,,,,,,n_features_to_select,score,_number
0,0,TrialState.COMPLETE,0.8330377400696642,2020-01-06 11:18:49.168940,2020-01-06 11:18:49.651460,2,0.8330377400696642,0
1,1,TrialState.COMPLETE,0.8456603713290513,2020-01-06 11:18:49.170324,2020-01-06 11:18:49.795702,3,0.8456603713290513,1
2,2,TrialState.COMPLETE,0.8526587415715975,2020-01-06 11:18:49.171468,2020-01-06 11:18:49.533388,6,0.8526587415715975,2
3,3,TrialState.COMPLETE,0.851156808231873,2020-01-06 11:18:49.173365,2020-01-06 11:18:49.936898,7,0.851156808231873,3
4,4,TrialState.COMPLETE,0.8415300546448088,2020-01-06 11:18:50.174391,2020-01-06 11:18:50.378675,10,0.8415300546448088,4
5,5,TrialState.COMPLETE,0.8518917968874828,2020-01-06 11:18:50.179230,2020-01-06 11:18:50.828107,5,0.8518917968874828,5
6,6,TrialState.COMPLETE,0.8526587415715975,2020-01-06 11:18:50.189340,2020-01-06 11:18:50.639404,6,0.8526587415715975,6
7,7,TrialState.COMPLETE,0.8515083245454255,2020-01-06 11:18:50.195091,2020-01-06 11:18:50.991389,4,0.8515083245454255,7
8,8,TrialState.COMPLETE,0.7668727830505224,2020-01-06 11:18:51.175253,2020-01-06 11:18:51.569895,1,0.7668727830505224,8
9,9,TrialState.COMPLETE,0.849886556098808,2020-01-06 11:18:51.184093,2020-01-06 11:18:51.448278,9,0.849886556098808,9
